;Unnamed: 0;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
72;75;Apartamento;Jacarepaguá;2;1;1;69;2000.0;780.0;0.0;28.99;Apartamento
73;76;Apartamento;Ipanema;3;1;1;120;7000.0;1800.0;370.0;58.33;Apartamento
74;77;Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0;35.26;Apartamento
75;78;Apartamento;Itanhangá;2;1;0;60;1000.0;450.0;150.0;16.67;Apartamento
76;79;Apartamento;Recreio dos Bandeirantes;2;1;1;90;2400.0;1700.0;135.0;26.67;Apartamento
77;80;Apartamento;Humaitá;2;1;0;86;4000.0;1259.0;188.0;46.51;Apartamento
78;81;Quitinete;Flamengo;0;0;0;28;1000.0;581.0;53.0;35.71;Apartamento
79;82;Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0;24.29;Apartamento
80;84;Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0;22.5;Apartamento
81;85;Casa de Vila;Piedade;2;1;0;70;1300.0;0.0;0.0;18.57;Casa
82;86;Apartamento;Tijuca;3;1;0;172;2700.0;780.0;170.0;15.7;Apartamento
83;87;Apartamento;Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535.0;3900.0;10.73;Apartamento
84;88;Apartamento;Ipanema;3;1;1;145;8000.0;14768.0;4394.0;55.17;Apartamento
85;89;Apartamento;Olaria;2;1;0;53;1100.0;160.0;0.0;20.75;Apartamento
86;90;Quitinete;Copacabana;1;0;0;29;1200.0;460.0;0.0;41.38;Apartamento
87;91;Apartamento;Botafogo;2;1;1;83;2800.0;560.0;138.0;33.73;Apartamento
88;92;Apartamento;Botafogo;2;1;1;80;4300.0;1178.0;187.0;53.75;Apartamento
89;93;Apartamento;Lagoa;3;1;2;250;13900.0;2500.0;0.0;55.6;Apartamento
90;94;Apartamento;Leblon;3;2;1;147;7500.0;1028.0;247.0;51.02;Apartamento
91;95;Apartamento;Copacabana;2;1;0;67;3500.0;950.0;160.0;52.24;Apartamento
92;96;Apartamento;Ipanema;3;1;1;150;25000.0;1616.0;4255.0;166.67;Apartamento
93;97;Apartamento;Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0;34.09;Apartamento
94;98;Apartamento;Catete;2;0;0;77;2400.0;1130.0;140.0;31.17;Apartamento
95;99;Apartamento;Jardim Carioca;2;1;0;55;1350.0;430.0;47.0;24.55;Apartamento
96;100;Casa;Maracanã;8;3;5;259;7000.0;0.0;0.0;27.03;Casa
97;101;Apartamento;Leblon;3;1;0;85;3900.0;800.0;1211.0;45.88;Apartamento
98;102;Apartamento;Catete;2;0;0;75;3350.0;455.0;0.0;44.67;Apartamento
99;103;Apartamento;Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0;13.33;Apartamento
100;104;Casa;Benfica;1;0;0;33;1200.0;0.0;0.0;36.36;Casa
101;105;Quitinete;Glória;1;0;0;16;1400.0;300.0;210.0;87.5;Apartamento
102;106;Apartamento;Praça Seca;2;0;0;80;900.0;350.0;0.0;11.25;Apartamento
103;107;Apartamento;Vila Isabel;1;0;0;37;1000.0;285.0;24.0;27.03;Apartamento
104;108;Apartamento;Copacabana;3;0;0;150;5500.0;1780.0;420.0;36.67;Apartamento
105;109;Apartamento;Lagoa;3;1;1;127;5000.0;1540.0;370.0;39.37;Apartamento
106;110;Apartamento;Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0;22.97;Apartamento
107;111;Apartamento;Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0;23.44;Apartamento
108;112;Apartamento;Gávea;3;1;1;160;8000.0;2000.0;0.0;50.0;Apartamento
109;113;Apartamento;Copacabana;3;1;1;200;6200.0;1800.0;420.0;31.0;Apartamento
110;114;Apartamento;Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0;25.86;Apartamento
111;115;Apartamento;Botafogo;3;1;1;100;5500.0;1300.0;220.0;55.0;Apartamento
112;116;Apartamento;Barra da Tijuca;4;2;3;320;5500.0;2700.0;800.0;17.19;Apartamento
